ID,Country,Education,First Contact,Last Contact,Status,Stage,First Call,Signed up for a demo,Filled in customer survey,Did sign up to the platform,Account Manager assigned,Subscribed
2377,Netherlands,,2021-03-27,2021-03-27,1st message,,,,,,,
2378,Netherlands,,2021-03-27,2021-03-27,1st message,,,,,,,
2379,Netherlands,,2021-03-27,2021-03-27,1st message,,,,,,,
2380,Netherlands,,2021-03-27,2021-03-27,1st message,,,,,,,
2381,Netherlands,,2021-03-27,2021-03-27,1st message,,,,,,,
2382,Netherlands,,2021-03-27,2021-03-27,1st message,,,,,,,
2383,Netherlands,,2021-03-27,2021-03-27,1st message,,,,,,,
2384,South Korea,,2021-03-27,2021-03-27,1st message,,,,,,,
2385,Czechia (Czech Republic),,2021-03-27,2021-03-27,1st message,,,,,,,
2393,USA,B19,2021-03-26,2021-03-26,1st message,,,,,,,
2394,USA,B19,2021-03-26,2021-03-26,1st message,,,,,,,
2395,USA,B19,2021-03-26,2021-03-26,1st message,,,,,,,
2396,USA,B19,2021-03-26,2021-03-26,1st message,,,,,,,
2397,USA,B19,2021-03-26,2021-03-26,1st message,,,,,,,
2398,Singapore,B19,2021-03-26,2021-03-26,1st message,,,,,,,
2399,USA,B27,2021-03-26,2021-03-26,1st message,,,,,,,
2405,USA,B9,2021-03-26,2021-09-06,1st message,,,,,,,
2406,USA,B9,2021-03-26,2021-09-14,2nd message,,,,,,,
2407,USA,B9,2021-03-26,2021-09-06,1st message,,,,,,,
2408,USA,B9,2021-03-26,2021-09-06,1st message,,,,,,,
2409,USA,B9,2021-03-26,2021-09-14,2nd message,,,,,,,
2410,USA,B9,2021-03-26,2021-03-26,1st message,,,,,,,
2411,USA,B9,2021-03-26,2021-03-26,1st message,,,,,,,
2412,Canada,B6,2021-03-26,2021-03-26,1st message,,,,,,,
2413,USA,,2021-03-26,2021-03-26,1st message,,,,,,,
2414,Australia,,2021-03-26,2021-09-06,1st message,,,,,,,
2415,Australia,,2021-03-26,2021-03-26,2nd message,declined/canceled call,2021-04-12,,,2021-04-30,,
2416,Australia,,2021-03-26,2021-03-26,1st message,,,,,,,
2417,Australia,,2021-03-26,2021-03-26,1st message,,,,,,,
2418,Australia,,2021-03-26,2021-03-26,1st message,,,,,,,
2419,Australia,,2021-03-26,2021-03-26,1st message,,,,,,,
2420,Australia,,2021-03-26,2021-03-26,1st message,,,,,,,
2421,Australia,,2021-03-26,2021-03-26,1st message,,,,,,,
2422,Australia,,2021-03-26,2021-03-26,2nd message,,,,,,,
2423,Australia,,2021-03-26,2021-03-26,1st message,,,,,,,
2424,Australia,,2021-03-26,2021-03-26,1st message,,,,,,,
2425,Australia,,2021-03-26,2021-04-04,2nd message,,,,,,,
2426,Australia,,2021-03-26,2021-03-26,1st message,,,,,,,
2427,Australia,,2021-03-26,2021-03-26,1st message,,,,,,,
2428,Australia,,2021-03-26,2021-03-26,2nd message,,,,,,,
2429,Australia,,2021-03-26,2021-03-26,1st message,,,,,,,
2430,Australia,,2021-03-26,2021-03-26,2nd message,,,,,,,
2431,Australia,,2021-03-26,2021-03-26,2nd message,,,,,,,
2432,Australia,,2021-03-26,2021-03-26,1st message,,,,,,,
2433,Australia,,2021-03-26,2021-03-26,1st message,,,,,,,
2434,Australia,B11,2021-03-26,2021-03-26,1st message,,,,,,,
2435,Australia,B11,2021-03-26,2021-03-26,1st message,,,,,,,
2436,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2437,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2438,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2439,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2440,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2441,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2442,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2443,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2444,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2445,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2446,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2447,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2448,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2449,Canada,B1,2021-03-24,2021-03-24,2nd message,declined/canceled call,2021-04-17,,,No,,
2450,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2451,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2452,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2453,Canada,B1,2021-03-24,2021-03-24,2nd message,,,,,,,
2454,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2492,Canada,B1,2021-03-24,2021-03-24,1st message,,,,,,,
2493,Canada,B1,2021-03-23,2021-03-23,1st message,,,,,,,
2494,Canada,B1,2021-03-23,2021-03-23,1st message,,,,,,,
2495,Canada,B1,2021-03-23,2021-03-23,1st message,,,,,,,
2496,Canada,B1,2021-03-23,2021-03-23,2nd message,declined/canceled call,2021-04-28,,,2021-04-27,,
2497,Canada,B1,2021-03-23,2021-03-23,1st message,,,,,,,
2498,Canada,B1,2021-03-23,2021-03-23,1st message,,,,,,,
2499,Canada,B1,2021-03-23,2021-03-23,1st message,,,,,,,
2500,Canada,B1,2021-03-23,2021-03-23,1st message,not interested,,,,,,
2501,Canada,B1,2021-03-23,2021-03-23,1st message,,,,,,,
2502,Canada,B1,2021-03-23,2021-03-23,1st message,,,,,,,
2503,Canada,B1,2021-03-23,2021-03-23,1st message,,,,,,,
2504,Canada,B1,2021-03-23,2021-03-23,1st message,,,,,,,
2505,Canada,B1,2021-03-23,2021-03-23,1st message,,,,,,,
2506,Canada,B1,2021-03-23,2021-03-23,1st message,,,,,,,
2507,Canada,B1,2021-03-23,2021-03-23,1st message,,,,,,,
2508,Canada,B1,2021-03-23,2021-03-23,1st message,,,,,,,
2509,Canada,B1,2021-03-23,2021-03-23,1st message,,,,,,,
2510,Canada,B1,2021-03-23,2021-03-23,1st message,,,,,,,
2522,USA,B4,2021-03-23,2022-03-18,3rd message,not interested,2021-03-27,,,No,,
2524,USA,B16,2021-03-23,2021-03-23,1st message,not interested,,,,,,
2525,USA,B4,2021-03-23,2021-03-23,1st message,,,,,,,
2526,USA,B4,2021-03-23,2021-03-23,1st message,,,,,,,
2527,USA,B4,2021-03-23,2021-03-23,1st message,,,,,,,
2528,USA,B4,2021-03-23,2021-03-23,1st message,,,,,,,
2529,USA,B4,2021-03-23,2021-03-23,1st message,,,,,,,
2530,USA,,2021-03-23,2021-03-23,1st message,,,,,,,
2531,USA,,2021-03-23,2021-03-23,1st message,,,,,,,
2532,USA,,2021-03-23,2021-03-23,1st message,,,,,,,
2537,USA,B27,2021-03-23,2021-11-05,1st message,,,,,,,
2539,USA,,2021-03-23,2021-03-23,1st message,,,,,,,
2540,USA,B19,2021-03-23,2021-03-23,1st message,,,,,,,
2541,USA,B6,2021-03-23,2021-03-23,1st message,,,,,,,
2542,USA,B19,2021-03-23,2021-03-28,3rd message,,,,,,,
2547,Spain,B20,2021-03-22,2021-03-22,1st message,,,,,,,
2548,Spain,B20,2021-03-22,2021-03-22,1st message,,,,,,,
2549,Spain,B20,2021-03-22,2021-03-22,1st message,,,,,,,
2550,Spain,B20,2021-03-22,2021-03-22,1st message,,,,,,,
2551,Spain,B20,2021-03-22,2021-03-22,1st message,,,,,,,
2552,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2553,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2554,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2555,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2556,Germany,B26,2021-03-22,2022-03-18,3rd message,not interested,2021-03-30,,,2021-03-30,,
2557,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2558,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2559,Germany,B26,2021-03-22,2021-03-22,2nd message,interested,2021-03-23,,,2021-03-23,,
2560,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2561,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2562,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2563,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2564,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2565,Germany,B26,2021-03-22,2021-03-28,3rd message,,,,,,,
2566,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2567,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2568,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2569,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2570,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2571,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2572,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2573,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2574,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2575,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2576,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2577,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2578,Germany,B26,2021-03-22,2021-03-28,3rd message,,,,,,,
2579,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2580,Germany,B26,2021-03-22,2021-03-22,1st message,not interested,,,,,,
2581,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2582,Germany,B26,2021-03-22,2021-03-28,3rd message,,,,,,,
2583,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2584,Germany,B26,2021-03-22,2021-03-28,3rd message,,,,,,,
2585,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2586,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2587,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2588,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2589,Germany,B26,2021-03-22,2021-03-28,3rd message,,,,,,,
2590,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2591,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2592,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2593,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2594,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2595,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2596,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2597,Germany,B26,2021-03-22,2021-03-28,3rd message,,,,,,,
2598,Germany,B26,2021-03-22,2021-03-22,2nd message,not interested,,,,,,
2599,Germany,B26,2021-03-22,2021-03-28,3rd message,,,,,,,
2600,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2601,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2602,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2603,Germany,B26,2021-03-22,2021-03-28,3rd message,,,,,,,
2604,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2605,Germany,B26,2021-03-22,2021-03-28,3rd message,,,,,,,
2606,Germany,B26,2021-03-22,2021-03-28,3rd message,,,,,,,
2607,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2608,Germany,B26,2021-03-22,2021-03-22,2nd message,not interested,,,,,,
2609,Germany,B26,2021-03-22,2021-03-22,1st message,not interested,,,,,,
2610,Italy,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2611,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2612,Germany,B26,2021-03-22,2021-03-22,2nd message,interested,2021-03-23,,,2021-03-23,,
2613,Germany,B26,2021-03-22,2021-03-22,1st message,,,,,,,
2633,USA,B30,2021-03-22,2021-03-22,1st message,,,,,,,
2634,USA,B30,2021-03-22,2021-03-28,3rd message,,,,,,,
2635,USA,B28,2021-03-22,2021-03-22,1st message,,,,,,,
2636,USA,B28,2021-03-22,2021-03-22,1st message,,,,,,,
2637,USA,B28,2021-03-22,2021-03-22,1st message,,,,,,,
2638,USA,B28,2021-03-22,2021-03-22,1st message,,,,,,,
2639,USA,B28,2021-03-22,2021-03-22,1st message,,,,,,,
2640,Israel,B28,2021-03-22,2021-03-22,1st message,,,,,,,
2646,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2647,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2648,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2649,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2650,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2651,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2652,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2653,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2654,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2655,USA,B10,2021-03-22,2022-02-21,1st message,,,,,,,
2656,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2657,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2658,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2659,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2660,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2661,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2662,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2663,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2664,Czechia (Czech Republic),B10,2021-03-22,2021-03-22,1st message,,,,,,,
2665,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2666,USA,B10,2021-03-22,2021-03-23,2nd message,not interested,,,,,,
2667,USA,B10,2021-03-22,2021-03-22,2nd message,not interested,,,,,,
2668,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2669,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2670,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2671,USA,B10,2021-03-22,2021-08-24,3rd message,,,,,,,
2672,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2673,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2674,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2675,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2676,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2677,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2678,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2679,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2680,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2681,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2682,France,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2683,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2684,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2685,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2686,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2687,USA,B10,2021-03-22,2021-08-24,3rd message,,,,,,,
2688,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2689,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2690,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2691,USA,B10,2021-03-22,2021-03-22,2nd message,not interested,,,,,,
2692,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2693,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2694,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2695,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2696,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2697,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2698,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2699,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2700,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2701,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2702,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2703,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2704,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2705,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2706,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2707,USA,B10,2021-03-22,2021-08-24,3rd message,,,,,,,
2708,USA,B10,2021-03-22,2021-08-24,3rd message,,,,,,,
2709,USA,B10,2021-03-22,2021-04-13,2nd message,did not join the call,2021-04-24,,,No,,
2710,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2711,USA,B10,2021-03-22,2021-03-22,1st message,not interested,,,,,,
2712,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2713,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2714,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2715,USA,B10,2021-03-22,2021-03-22,1st message,,,,,,,
2716,USA,B10,2021-03-22,2021-11-24,1st message,,,,,,,
2717,USA,,2021-03-22,2021-03-22,1st message,,,,,,,
2718,USA,,2021-03-22,2021-03-23,2nd message,not interested,,,,,,
2719,USA,B10,2021-03-21,2021-03-21,1st message,,,,,,,
2720,Germany,,2021-03-21,2021-03-21,1st message,,,,,,,
2721,USA,B10,2021-03-21,2021-03-21,1st message,,,,,,,
2722,Germany,,2021-03-21,2021-03-21,1st message,,,,,,,
2723,Germany,,2021-03-21,2021-03-21,1st message,,,,,,,
2724,USA,B10,2021-03-21,2021-03-21,1st message,,,,,,,
2725,USA,B10,2021-03-21,2021-03-21,1st message,,,,,,,
2726,USA,B10,2021-03-21,2021-03-21,1st message,,,,,,,
2727,USA,B10,2021-03-21,2021-03-21,1st message,,,,,,,
2728,USA,B10,2021-03-21,2021-03-21,1st message,,,,,,,
2729,USA,B10,2021-03-21,2021-03-21,1st message,,,,,,,
2730,USA,B10,2021-03-21,2021-03-21,1st message,,,,,,,
2731,USA,B10,2021-03-21,2021-03-21,1st message,,,,,,,
2732,USA,B10,2021-03-21,2021-03-21,1st message,,,,,,,
2733,USA,B10,2021-03-21,2021-03-21,1st message,,,,,,,
2734,Germany,,2021-03-21,2021-03-21,1st message,,,,,,,
2735,Finland,,2021-03-21,2021-03-21,2nd message,,,,,,,
2736,Finland,,2021-03-21,2021-03-21,2nd message,,,,,,,
2737,Finland,B30,2021-03-21,2021-03-21,1st message,,,,,,,
2738,USA,,2021-03-21,2021-03-21,1st message,,,,,,,
2739,USA,,2021-03-21,2021-03-21,1st message,,,,,,,
2740,Denmark,,2021-03-21,2021-03-21,1st message,,,,,,,
2741,Switzerland,,2021-03-21,2021-03-21,1st message,,,,,,,
2742,Finland,,2021-03-21,2021-03-21,1st message,,,,,,,
2743,USA,B16,2021-03-20,2021-03-20,1st message,,,,,,,
2744,USA,B30,2021-03-20,2021-03-20,1st message,,,,,,,
2745,USA,B30,2021-03-20,2021-03-20,1st message,,,,,,,
2746,USA,B30,2021-03-20,2021-03-28,3rd message,,,,,,,
2747,USA,B30,2021-03-20,2021-03-20,1st message,,,,,,,
2748,USA,B30,2021-03-20,2021-03-20,1st message,,,,,,,
2749,Spain,B20,2021-03-20,2021-03-21,2nd message,interested,2021-03-23,,,2021-03-23,,
2750,Canada,B5,2021-03-20,2021-03-20,1st message,,,,,,,
2751,Netherlands,,2021-03-20,2021-03-20,1st message,,,,,,,
2752,USA,,2021-03-20,2021-03-28,3rd message,,,,,,,
2753,Spain,B5,2021-03-20,2021-03-20,1st message,not interested,,,,,,
2754,Germany,B5,2021-03-20,2021-03-20,1st message,,,,,,,
2755,Germany,B5,2021-03-20,2021-03-20,1st message,,,,,,,
2757,Germany,B5,2021-03-20,2021-03-20,1st message,,,,,,,
2758,Germany,B5,2021-03-20,2021-03-20,1st message,,,,,,,
2759,Germany,B5,2021-03-20,2021-03-20,1st message,,,,,,,
2760,Germany,B5,2021-03-20,2021-03-20,1st message,,,,,,,
2761,Portugal,B5,2021-03-20,2021-03-20,2nd message,interested,2021-03-23,,,2021-03-23,,
2762,Germany,B5,2021-03-20,2021-03-20,1st message,,,,,,,
2763,Germany,B5,2021-03-20,2021-03-20,1st message,,,,,,,
2764,Germany,B5,2021-03-20,2021-03-20,1st message,,,,,,,
2765,Poland,B5,2021-03-20,2021-03-20,1st message,,,,,,,
2766,Germany,B5,2021-03-20,2021-03-28,3rd message,,,,,,,
2767,Switzerland,B5,2021-03-20,2021-03-20,1st message,,,,,,,
2768,Belgium,B5,2021-03-20,2021-03-20,1st message,,,,,,,
2769,Spain,B5,2021-03-20,2021-03-20,1st message,,,,,,,
2770,USA,B13,2021-03-20,2021-03-20,1st message,,,,,,,
2771,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2772,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2773,Spain,B20,2021-03-20,2021-03-28,3rd message,,,,,,,
2774,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2775,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2776,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2777,Spain,B20,2021-03-20,2021-03-20,1st message,not interested,,,,,,
2778,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2779,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2780,Spain,B20,2021-03-20,2021-03-28,3rd message,,,,,,,
2781,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2782,Spain,B20,2021-03-20,2021-03-28,3rd message,,,,,,,
2783,Spain,B20,2021-03-20,2021-03-28,3rd message,,,,,,,
2784,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2785,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2786,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2787,Spain,B20,2021-03-20,2021-03-28,3rd message,,,,,,,
2788,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2789,Spain,B20,2021-03-20,2021-03-22,2nd message,not interested,,,,,,
2790,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2791,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2792,Spain,B20,2021-03-20,2021-03-20,1st message,not interested,,,,,,
2793,Canada,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2794,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2795,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2796,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2797,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2798,Spain,B20,2021-03-20,2021-03-28,3rd message,,,,,,,
2799,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2800,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2801,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2802,Spain,B20,2021-03-20,2021-03-28,3rd message,,,,,,,
2803,Spain,B20,2021-03-20,2021-03-20,1st message,,,,,,,
2809,USA,B27,2021-03-20,2021-11-05,1st message,,,,,,,
2842,Canada,B1,2021-03-20,2021-03-20,1st message,,,,,,,
2843,Canada,B1,2021-03-20,2021-03-20,1st message,,,,,,,
2844,Canada,B1,2021-03-20,2021-03-20,1st message,not interested,,,,,,
2845,Canada,B1,2021-03-20,2021-03-20,1st message,,,,,,,
2846,Canada,B1,2021-03-20,2021-03-20,1st message,,,,,,,
2847,Canada,B1,2021-03-20,2021-03-20,1st message,,,,,,,
2848,Canada,B1,2021-03-20,2021-03-20,1st message,,,,,,,
2849,Canada,B1,2021-03-20,2021-03-20,2nd message,interested,2021-03-24,,,No,,
2850,Canada,B1,2021-03-20,2021-03-20,1st message,,,,,,,
2851,Canada,B1,2021-03-20,2021-03-20,1st message,,,,,,,
2852,Canada,B1,2021-03-20,2021-03-20,1st message,,,,,,,
2853,Canada,B1,2021-03-20,2021-03-20,1st message,,,,,,,
2854,Canada,B1,2021-03-20,2021-03-20,1st message,,,,,,,
2855,Canada,B1,2021-03-20,2021-03-20,2nd message,,,,,,,
2856,Canada,B1,2021-03-20,2021-03-20,1st message,,,,,,,
2857,Canada,B1,2021-03-20,2021-03-20,1st message,,,,,,,
2858,Canada,B1,2021-03-20,2021-03-20,1st message,,,,,,,
2859,Canada,B1,2021-03-20,2021-03-20,1st message,,,,,,,
2860,Canada,B1,2021-03-20,2021-03-20,1st message,,,,,,,
2861,Canada,B1,2021-03-20,2021-03-20,1st message,,,,,,,
2862,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2863,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2864,USA,B27,2021-03-20,2021-03-20,1st message,not interested,,,,,,
2865,USA,B21,2021-03-20,2021-03-20,1st message,,,,,,,
2866,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2867,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2868,USA,B27,2021-03-20,2021-08-24,3rd message,,,,,,,
2869,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2870,USA,B27,2021-03-20,2021-08-24,3rd message,,,,,,,
2871,USA,B27,2021-03-20,2021-04-17,1st message,not interested,,,,,,
2872,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2873,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2874,USA,B27,2021-03-20,2022-01-11,1st message,,,,,,,
2875,USA,B27,2021-03-20,2022-01-11,1st message,,,,,,,
2877,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2878,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2879,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2880,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2881,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2882,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2883,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2884,USA,B27,2021-03-20,2021-03-20,1st message,not interested,,,,,,
2885,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2886,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2887,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2888,USA,B27,2021-03-20,2021-03-20,1st message,not interested,,,,,,
2889,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2890,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2891,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2892,Canada,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2893,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2894,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2895,India,B27,2021-03-20,2021-03-20,2nd message,interested,2021-03-22,,,2021-03-22,,
2896,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2897,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2898,USA,B27,2021-03-20,2021-03-20,1st message,not interested,,,,,,
2899,USA,B27,2021-03-20,2022-01-11,1st message,,,,,,,
2900,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2901,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2902,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
2904,USA,B27,2021-03-20,2021-03-22,2nd message,interested,2021-03-24,,,2021-03-24,,
2905,USA,B27,2021-03-20,2021-03-20,1st message,,,,,,,
